Item ID_tourist,Item_category_combined,Province,City,City_Sentiment_Score,Avg_City_Sentiment_Score,Popularity
A-28,6,Al Madinah Al Munawwarah Province,Madinah,0.811181307661452,0.7532862279799605,0.7822337678207063
A-29,6,Makkah Al Mukarramah Province,Makkah,0.6975113651557695,0.5673850952090053,0.6324482301823874
A-3,6,Al Madinah Al Munawwarah Province,Madinah,0.8966305655836343,0.8930339353805666,0.8948322504821005
A-30,6,Al Madinah Al Munawwarah Province,Madinah,0.843478406204038,0.8061064111320658,0.8247924086680519
A-31,6,Makkah Al Mukarramah Province,Taif,0.5135145072870705,0.26646803954310383,0.38999127341508716
A-32,5,Makkah Al Mukarramah Province,Taif,0.8667384059983338,0.8441469015140692,0.8554426537562015
A-33,6,Al Madinah Al Munawwarah Province,Madinah,0.6365289477202835,0.46765160094238045,0.552090274331332
A-34,1,Al Madinah Al Munawwarah Province,Madinah,0.9346837812541784,0.9552679413290516,0.944975861291615
A-35,7,Riyadh Province,Riyadh,0.9056424655702634,0.9077724172553329,0.9067074414127981
A-36,7,Riyadh Province,Riyadh,0.8947553148816687,0.8899670627970772,0.892361188839373
A-37,6,Al Madinah Al Munawwarah Province,Madinah,0.8053132103222356,0.7436892677892795,0.7745012390557575
A-38,5,Makkah Al Mukarramah Province,Makkah,0.8601985559566787,0.8334513252425075,0.8468249405995931
A-39,5,Riyadh Province,Riyadh,0.9620353656906003,1.0,0.9810176828453001
A-4,6,Makkah Al Mukarramah Province,Makkah,0.7624515309533361,0.6735912749042877,0.7180214029288119
A-40,2,Riyadh Province,Riyadh,0.9595801577751036,0.9959846388486887,0.9777823983118962
A-41,1,Al Madinah Al Munawwarah Province,Al Ula,0.742305121005482,0.6406428951169603,0.6914740080612212
A-42,2,Al Madinah Al Munawwarah Province,Al Ula,0.8031906003476402,0.7402178517514844,0.7717042260495623
A-43,5,Al Madinah Al Munawwarah Province,Al Ula,0.8673151490841022,0.8450901337574902,0.8562026414207962
A-44,5,Tabuk Province,Tabuk,0.8633535009136694,0.8386110693978629,0.8509822851557661
A-45,0,The Eastern Province,Ras Tanura,0.8305839684449793,0.7850182459197252,0.8078011071823523
A-46,5,Hail Province,Hail,0.6934382938895574,0.5607238036766182,0.6270810487830878
A-47,5,Al Madinah Al Munawwarah Province,Al Ula,0.7889033738913402,0.7168518546698335,0.7528776142805869
A-48,5,Riyadh Province,Riyadh,0.8907942238267148,0.8834889094790114,0.887141566652863
A-49,6,Makkah Al Mukarramah Province,Makkah,0.717983687658778,0.6008664876111103,0.6594250876349441
A-5,0,The Eastern Province,Al Khobar,0.8531688728439631,0.8219546531514588,0.837561762997711
A-50,4,Riyadh Province,Riyadh,0.9416766947452868,0.9667044789369008,0.9541905868410938
A-51,5,Aseer Province,Aseer,0.7732651423987165,0.691276360396145,0.7322707513974307
A-52,6,Al Madinah Al Munawwarah Province,Madinah,0.7359726281206426,0.6302864411513855,0.683129534636014
A-53,5,Al Madinah Al Munawwarah Province,Madinah,0.760589651022864,0.6705462697783341,0.7155679604005991
A-54,6,Makkah Al Mukarramah Province,Taif,0.6000267415429871,0.4079541880872922,0.5039904648151396
A-55,6,The Eastern Province,Al Ahsa,0.7491275571600481,0.6518006261263106,0.7004640916431794
